Rank,Feature,Mean_Absolute_SHAP
1,categorical__Phase_FCC,3.3877223
2,elements__Al_at_pct,2.096833
3,elements__Fe_at_pct,1.8026072
4,numeric__Density_Calc_g_cm3,1.7672416
5,numeric__Grain_Size_um,1.6967382
6,numeric__Test_Temperature_C,1.3861237
7,elements__Cr_at_pct,1.3611116
8,elements__Ni_at_pct,1.2619002
9,numeric__Atomic_Size_Mismatch,0.9521003
10,elements__Mn_at_pct,0.9266305
11,elements__Hf_at_pct,0.88581073
12,categorical__Processing_Method_WROUGHT,0.8805736
13,elements__Mo_at_pct,0.8462402
14,elements__Co_at_pct,0.7035851
15,numeric__VEC,0.6484439
16,elements__Nb_at_pct,0.63215846
17,elements__Ta_at_pct,0.59021884
18,numeric__Matrix_Volume_pct,0.58108944
19,elements__Cu_at_pct,0.548507
20,numeric__Mixing_Enthalpy,0.44061777
