Rank,Feature,Mean_Absolute_SHAP
1,categorical__Phase_FCC,3.3877223
2,elements__Al_at_pct,2.096833
3,elements__Fe_at_pct,1.8026072
4,numeric__Density_Calc_g_cm3,1.7672416
5,numeric__Grain_Size_um,1.6967382
6,numeric__Test_Temperature_C,1.3861237
7,elements__Cr_at_pct,1.3611116
8,elements__Ni_at_pct,1.2619002
9,numeric__Atomic_Size_Mismatch,0.9521003
10,elements__Mn_at_pct,0.9266305
11,elements__Hf_at_pct,0.88581073
12,categorical__Processing_Method_WROUGHT,0.8805736
13,elements__Mo_at_pct,0.8462402
14,elements__Co_at_pct,0.7035851
15,numeric__VEC,0.6484439
16,elements__Nb_at_pct,0.63215846
17,elements__Ta_at_pct,0.59021884
18,numeric__Matrix_Volume_pct,0.58108944
19,elements__Cu_at_pct,0.548507
20,numeric__Mixing_Enthalpy,0.44061777
21,categorical__Test_Type_C,0.4313423
22,elements__Ti_at_pct,0.40553632
23,categorical__Phase_BCC,0.3630788
24,elements__Zr_at_pct,0.3385431
25,elements__V_at_pct,0.33089867
26,numeric__Mixing_Entropy,0.32345408
27,categorical__Processing_Method_0; 0; 0; 0,0.29492903
28,numeric__Density_Exp_g_cm3,0.24882354
29,categorical__Phase_BCC+Laves,0.23165974
30,categorical__Phase_FCC+Sec.,0.21658851
31,categorical__Processing_Method_CAST,0.19987282
32,categorical__Test_Type_T,0.19764912
33,categorical__Alloy_Class_MPEA,0.19623323
34,categorical__Phase_BCC + Im,0.16644266
35,categorical__Processing_Method_1,0.16366959
36,elements__Si_at_pct,0.1339917
37,categorical__Alloy_Class_FCC HEA,0.11975055
38,categorical__Phase_Other,0.10459326
39,categorical__Processing_Method_OTHER,0.09968128
40,categorical__Processing_Method_ANNEAL,0.09295235
41,categorical__Phase_BCC+Sec.,0.08428532
42,elements__Sn_at_pct,0.083566606
43,categorical__Phase_FCC+L12,0.08080666
44,elements__W_at_pct,0.06903195
45,categorical__Precipitate_Info_3,0.06560422
46,categorical__Phase_FCC+BCC+B2+Sec.,0.057529833
47,categorical__Alloy_Class_HEA/CCA,0.056428663
48,categorical__Processing_Method_0,0.056140088
49,categorical__Phase_BCC+B2,0.050299075
50,categorical__Processing_Method_POWDER,0.04915761
51,categorical__Processing_Method_1; 0; 0; 0,0.04910242
52,elements__Ca_at_pct,0.047161285
53,categorical__Processing_Method_Yes (1); 0; 0; 1,0.038536426
54,categorical__Alloy_Class_MPEA/HEA,0.036975272
55,categorical__Phase_FCC+L12+Sec.,0.031006321
56,categorical__Phase_Face‑Centered Cubic (FCC),0.028067695
57,categorical__Phase_FCC+BCC+Sec.,0.024768619
58,numeric__Precipitate_Size_nm,0.021737438
59,categorical__Phase_Face‐centered cubic (classification = 1),0.018789738
60,"categorical__Precipitate_Info_η Phase (Ni3Ti‐type, hexagonally ordered, coded: 4)",0.018039245
61,categorical__Processing_Method_1; 1; 1; 0,0.01781084
62,categorical__Phase_FCC (code 1),0.013997621
63,categorical__Phase_FCC + BCC,0.012909402
64,categorical__Processing_Method_Yes; Yes; Yes; 0,0.012832077
65,categorical__Precipitate_Info_μ phase (classified as 9),0.01013804
66,categorical__Phase_BCC+FCC,0.009980001
67,elements__C_at_pct,0.009957357
68,categorical__Phase_FCC+HCP,0.009895152
69,categorical__Phase_FCC+B2,0.009281533
70,elements__Mg_at_pct,0.008665642
71,categorical__Processing_Method_Yes (1); 0; 0; 0,0.008366591
72,categorical__Phase_FCC+BCC+B2,0.0082788905
73,categorical__Processing_Method_0; 1 (Yes); 1 (Yes); 1,0.007667323
74,categorical__Alloy_Class_Cantor-type HEA/MEA,0.0076415795
75,categorical__Phase_Face-centered cubic (FCC) → code 1,0.0075869123
76,categorical__Processing_Method_Yes; Yes (cold rolling); Yes; 1,0.0074289627
77,categorical__Processing_Method_1; 1; 1; 1,0.0072606816
78,categorical__Processing_Method_143,0.006845908
79,elements__Zn_at_pct,0.006641907
80,elements__Li_at_pct,0.0063010715
81,categorical__Phase_FCC+BCC,0.0059785773
82,categorical__Phase_Face-Centered Cubic (fcc),0.0056934296
83,categorical__Precipitate_Info_0,0.0051057106
84,categorical__Processing_Method_1; Cold rolling; Annealing for recrystallization and homogenization; 1,0.0043177404
85,categorical__Processing_Method_0; 1; 1; 0,0.0042618406
86,categorical__Phase_BCC+BCC+Sec.,0.003713613
87,categorical__Phase_FCC+B2+Sec.,0.003552337
88,categorical__Phase_Face-centered cubic (FCC) [Classification: 1],0.0031462463
89,categorical__Processing_Method_Yes; Yes; Yes; 1,0.0029274833
90,categorical__Processing_Method_Yes (1); Cold Rolling: Yes (1); 0; 1,0.0028315892
91,categorical__Phase_Face‐centered cubic (FCC) [Classification: 1],0.0024813642
92,categorical__Processing_Method_0; 1; 0; 1,0.0024010565
93,elements__Pd_at_pct,0.002276947
94,categorical__Precipitate_Info_L12 phase,0.0022324207
95,categorical__Phase_FCC + Im,0.0022195273
96,categorical__Processing_Method_As cast and homogenized; 1; 1; 1,0.0020088078
97,categorical__Phase_1,0.0018721363
98,categorical__Phase_BCC+B2+FCC,0.001730597
99,categorical__Precipitate_Info_B2 (ordered BCC) (precipitate classification: B2 = 3),0.0016340016
